,Mission Date,Theater of Operations,lat1,long1,lat2,long2,year
26864,12/17/1943,MTO,40.916667,14.4,41.17,14.33,1943
26886,12/18/1943,MTO,40.916667,14.4,41.52,13.95,1943
26894,12/18/1943,MTO,40.916667,14.4,41.47,13.88,1943
27103,12/18/1943,MTO,40.916667,14.4,41.53,13.88,1943
27104,12/18/1943,MTO,40.916667,14.4,41.47,13.88,1943
27109,12/18/1943,MTO,40.916667,14.4,42.1,11.78,1943
27110,12/18/1943,MTO,40.916667,14.4,42.1,11.78,1943
27153,12/19/1943,MTO,40.916667,14.4,41.6,13.6,1943
27158,12/19/1943,MTO,40.916667,14.4,42.1,11.78,1943
27173,12/19/1943,MTO,40.916667,14.4,41.6,13.6,1943
27174,12/19/1943,MTO,40.916667,14.4,41.6,13.6,1943
27175,12/19/1943,MTO,40.62,14.9125,39.27,16.25,1943
27180,12/19/1943,MTO,40.916667,14.4,45.13,9.12,1943
27181,12/19/1943,MTO,40.916667,14.4,45.13,9.12,1943
27467,12/20/1943,MTO,40.916667,14.4,41.9,12.47,1943
27498,12/20/1943,MTO,40.916667,14.4,42.1,11.78,1943
28030,12/21/1943,MTO,40.62,14.9125,39.27,16.25,1943
28048,12/21/1943,MTO,40.916667,14.4,42.1,11.78,1943
28049,12/21/1943,MTO,40.916667,14.4,41.72,13.0,1943
28050,12/21/1943,MTO,40.916667,14.4,41.72,13.0,1943
28051,12/21/1943,MTO,40.916667,14.4,41.47,13.9,1943
29157,12/25/1943,MTO,40.916667,14.4,41.45,13.67,1943
29443,12/27/1943,MTO,40.916667,14.4,42.1,11.78,1943
29444,12/27/1943,MTO,40.916667,14.4,41.62,13.8,1943
29453,12/27/1943,MTO,40.916667,14.4,42.1,11.78,1943
29480,12/28/1943,MTO,40.916667,14.4,41.68,13.28,1943
29481,12/28/1943,MTO,40.916667,14.4,41.8,12.6,1943
29496,12/28/1943,MTO,40.916667,14.4,42.1,11.78,1943
29759,12/29/1943,MTO,40.916667,14.4,41.68,13.28,1943
29764,12/29/1943,MTO,40.916667,14.4,42.1,11.78,1943
29765,12/29/1943,MTO,40.916667,14.4,42.1,11.78,1943
30009,12/30/1943,MTO,40.916667,14.4,41.53,13.88,1943
30010,12/30/1943,MTO,40.916667,14.4,41.62,13.8,1943
30024,12/30/1943,MTO,40.916667,14.4,41.62,13.8,1943
30025,12/30/1943,MTO,40.916667,14.4,41.68,13.28,1943
30028,12/30/1943,MTO,40.916667,14.4,41.63,13.37,1943
30033,12/30/1943,MTO,40.62,14.9125,38.1,13.53,1943
30359,12/31/1943,MTO,40.916667,14.4,41.63,13.37,1943
30928,1/2/1944,MTO,40.916667,14.4,41.72,13.0,1944
30946,1/2/1944,MTO,40.916667,14.4,41.55,13.33,1944
30953,1/2/1944,MTO,40.916667,14.4,39.08,8.83,1944
30955,1/2/1944,MTO,40.916667,14.4,42.1,11.78,1944
30994,1/3/1944,MTO,40.916667,14.4,41.72,13.0,1944
31210,1/3/1944,MTO,40.916667,14.4,42.1,11.78,1944
31277,1/4/1944,MTO,40.916667,14.4,41.48,13.82,1944
31292,1/4/1944,MTO,40.916667,14.4,41.48,13.7,1944
31817,1/5/1944,MTO,40.916667,14.4,41.43,13.9,1944
32143,1/6/1944,MTO,40.916667,14.4,41.47,13.9,1944
32144,1/6/1944,MTO,40.916667,14.4,41.9,12.47,1944
32146,1/6/1944,MTO,40.916667,14.4,41.47,13.88,1944
32150,1/6/1944,MTO,40.916667,14.4,41.48,13.7,1944
32151,1/6/1944,MTO,40.916667,14.4,42.1,11.78,1944
32152,1/6/1944,MTO,40.916667,14.4,41.48,13.82,1944
32155,1/6/1944,MTO,40.916667,14.4,41.47,13.9,1944
32158,1/6/1944,MTO,40.916667,14.4,41.67,12.67,1944
32187,1/7/1944,MTO,40.916667,14.4,41.58,13.38,1944
32192,1/7/1944,MTO,40.916667,14.4,41.68,12.78,1944
32198,1/7/1944,MTO,40.916667,14.4,41.48,13.7,1944
32401,1/7/1944,MTO,40.916667,14.4,41.48,13.7,1944
32402,1/7/1944,MTO,40.916667,14.4,41.47,13.9,1944
32405,1/7/1944,MTO,40.916667,14.4,41.47,13.9,1944
32710,1/8/1944,MTO,40.916667,14.4,41.63,13.37,1944
32725,1/8/1944,MTO,40.916667,14.4,41.27,13.25,1944
32726,1/8/1944,MTO,40.916667,14.4,41.82,12.92,1944
32729,1/8/1944,MTO,40.916667,14.4,41.3,13.8,1944
32795,1/9/1944,MTO,40.916667,14.4,41.43,13.88,1944
32796,1/9/1944,MTO,40.916667,14.4,41.43,13.88,1944
33042,1/10/1944,MTO,40.916667,14.4,41.9,12.47,1944
33093,1/11/1944,MTO,40.916667,14.4,41.7,13.62,1944
33094,1/11/1944,MTO,40.916667,14.4,41.7,13.62,1944
33646,1/12/1944,MTO,40.916667,14.4,41.62,13.18,1944
33653,1/12/1944,MTO,40.916667,14.4,42.03,13.43,1944
33654,1/12/1944,MTO,40.916667,14.4,41.63,13.37,1944
33655,1/12/1944,MTO,40.916667,14.4,41.62,13.18,1944
33656,1/12/1944,MTO,40.916667,14.4,42.03,13.43,1944
33660,1/12/1944,MTO,40.916667,14.4,41.48,13.82,1944
33922,1/13/1944,MTO,40.916667,14.4,41.68,13.28,1944
33923,1/13/1944,MTO,40.916667,14.4,41.63,13.37,1944
33932,1/13/1944,MTO,40.916667,14.4,41.63,13.37,1944
33933,1/13/1944,MTO,40.916667,14.4,41.63,13.37,1944
33934,1/13/1944,MTO,40.916667,14.4,41.67,13.58,1944
33935,1/13/1944,MTO,40.916667,14.4,41.77,12.95,1944
33941,1/13/1944,MTO,40.916667,14.4,41.77,12.95,1944
33944,1/13/1944,MTO,40.916667,14.4,41.48,13.82,1944
33998,1/14/1944,MTO,40.916667,14.4,41.45,12.63,1944
34202,1/14/1944,MTO,40.916667,14.4,41.65,13.88,1944
34206,1/14/1944,MTO,40.916667,14.4,41.45,13.83,1944
34207,1/14/1944,MTO,40.916667,14.4,41.7,13.62,1944
34573,1/15/1944,MTO,40.916667,14.4,41.53,13.88,1944
34575,1/15/1944,MTO,40.916667,14.4,41.53,13.88,1944
34576,1/15/1944,MTO,40.916667,14.4,41.53,13.88,1944
34577,1/15/1944,MTO,40.916667,14.4,41.65,13.88,1944
34612,9/7/1944,PTO,-15.25,166.833333,-4.316666667,152.05,1944
34621,9/7/1944,PTO,-15.25,166.833333,-4.316666667,152.05,1944
34815,1/16/1944,MTO,40.916667,14.4,43.77,11.25,1944
34819,1/16/1944,MTO,40.916667,14.4,42.03,13.43,1944
34829,1/16/1944,MTO,40.916667,14.4,43.77,11.25,1944
34887,1/17/1944,MTO,40.916667,14.4,41.48,13.7,1944
34888,1/17/1944,MTO,40.916667,14.4,42.03,13.43,1944
34898,1/17/1944,MTO,40.916667,14.4,41.9,12.22,1944
34899,1/17/1944,MTO,40.916667,14.4,41.97,13.38,1944
35101,1/17/1944,MTO,40.916667,14.4,41.47,12.63,1944
35102,1/17/1944,MTO,40.916667,14.4,41.45,12.63,1944
35105,1/17/1944,MTO,40.916667,14.4,42.25,11.75,1944
35106,1/17/1944,MTO,40.916667,14.4,42.25,11.75,1944
35148,1/18/1944,MTO,40.916667,14.4,42.03,13.43,1944
35150,1/18/1944,MTO,40.916667,14.4,41.2,14.18,1944
35151,1/18/1944,MTO,40.916667,14.4,41.2,14.18,1944
35161,1/18/1944,MTO,40.916667,14.4,41.33,13.78,1944
35166,1/18/1944,MTO,40.916667,14.4,41.27,13.25,1944
35172,1/18/1944,MTO,40.916667,14.4,41.55,13.53,1944
35174,1/18/1944,MTO,40.916667,14.4,41.28,13.53,1944
35447,1/19/1944,MTO,40.916667,14.4,41.2,14.18,1944
35451,1/19/1944,MTO,40.916667,14.4,42.77,11.13,1944
35464,1/19/1944,MTO,40.916667,14.4,41.47,12.9,1944
35465,1/19/1944,MTO,40.916667,14.4,41.68,12.78,1944
35466,1/19/1944,MTO,40.916667,14.4,41.45,13.45,1944
35470,1/19/1944,MTO,40.916667,14.4,41.2,14.18,1944
35471,1/19/1944,PTO,-6.244444,155.38388899999998,-6.583333333,155.08333330000002,1944
35725,1/20/1944,MTO,40.916667,14.4,41.63,13.37,1944
35726,1/20/1944,MTO,40.916667,14.4,42.1,13.1,1944
35737,1/20/1944,MTO,40.916667,14.4,41.63,13.37,1944
35739,1/20/1944,MTO,40.916667,14.4,41.82,12.92,1944
35742,1/20/1944,MTO,40.916667,14.4,42.32,12.07,1944
35743,1/20/1944,MTO,40.916667,14.4,42.42,12.12,1944
35816,9/9/1944,PTO,-15.25,166.833333,-4.316666667,152.05,1944
35828,9/9/1944,PTO,-15.25,166.833333,-4.316666667,152.05,1944
36051,1/21/1944,MTO,40.916667,14.4,41.07,12.67,1944
36054,1/21/1944,MTO,40.916667,14.4,41.68,12.78,1944
36056,1/21/1944,MTO,40.916667,14.4,41.58,13.38,1944
36063,1/21/1944,MTO,40.916667,14.4,39.27,16.25,1944
36660,1/22/1944,MTO,40.916667,14.4,41.68,13.28,1944
36676,1/22/1944,MTO,40.916667,14.4,42.0,13.0,1944
36677,1/22/1944,MTO,40.916667,14.4,41.07,12.67,1944
36678,1/22/1944,MTO,40.916667,14.4,41.55,13.53,1944
36681,1/22/1944,MTO,40.916667,14.4,41.9,12.47,1944
36682,1/22/1944,MTO,40.916667,14.4,42.32,12.07,1944
36858,1/23/1944,MTO,40.916667,14.4,42.27,12.4,1944
36860,1/23/1944,MTO,40.916667,14.4,42.32,12.07,1944
36873,1/23/1944,MTO,40.916667,14.4,41.55,13.33,1944
36874,1/23/1944,MTO,40.916667,14.4,42.0,13.0,1944
36875,1/23/1944,MTO,40.916667,14.4,41.42,13.45,1944
36876,1/23/1944,MTO,40.916667,14.4,41.7,13.62,1944
36877,1/23/1944,MTO,40.916667,14.4,41.68,12.78,1944
37163,1/24/1944,MTO,40.916667,14.4,41.07,12.67,1944
37174,1/24/1944,MTO,40.916667,14.4,41.68,12.78,1944
37180,1/24/1944,MTO,40.916667,14.4,41.9,12.47,1944
37185,1/24/1944,MTO,40.916667,14.4,41.68,12.78,1944
37435,1/25/1944,MTO,40.916667,14.4,42.27,12.4,1944
37438,1/25/1944,MTO,40.916667,14.4,41.9,12.47,1944
37447,1/25/1944,MTO,40.916667,14.4,41.28,13.53,1944
37456,1/25/1944,MTO,40.916667,14.4,41.68,12.78,1944
37464,1/25/1944,MTO,40.916667,14.4,39.27,16.25,1944
37719,1/26/1944,MTO,40.916667,14.4,41.55,13.33,1944
37722,1/26/1944,MTO,40.916667,14.4,44.07,10.1,1944
37727,1/26/1944,MTO,40.916667,14.4,41.63,13.37,1944
37730,1/26/1944,MTO,40.916667,14.4,38.07,13.35,1944
37735,1/26/1944,MTO,40.916667,14.4,39.27,16.25,1944
37736,1/26/1944,MTO,40.916667,14.4,41.72,13.0,1944
37752,1/27/1944,MTO,40.916667,14.4,41.62,13.8,1944
37754,1/27/1944,MTO,40.916667,14.4,42.25,12.68,1944
37770,1/27/1944,MTO,40.916667,14.4,41.8,12.6,1944
37771,1/27/1944,MTO,40.916667,14.4,41.9,12.47,1944
37774,1/27/1944,MTO,40.916667,14.4,41.97,13.38,1944
37775,1/27/1944,MTO,40.916667,14.4,41.35,14.38,1944
37776,1/27/1944,MTO,40.916667,14.4,41.72,12.92,1944
37880,3/21/1945,PTO,-6.244444,155.38388899999998,-6.7,155.81666669999998,1945
38051,1/28/1944,MTO,40.916667,14.4,42.03,13.43,1944
38053,1/28/1944,MTO,40.916667,14.4,42.27,12.4,1944
38060,1/28/1944,MTO,40.916667,14.4,41.63,13.37,1944
38063,1/28/1944,MTO,40.916667,14.4,41.9,12.47,1944
38064,1/28/1944,MTO,40.916667,14.4,41.77,12.95,1944
38067,1/28/1944,MTO,40.916667,14.4,39.27,16.25,1944
38348,1/29/1944,MTO,40.916667,14.4,41.57,12.83,1944
38351,1/29/1944,MTO,40.916667,14.4,41.55,13.53,1944
38358,1/29/1944,MTO,40.916667,14.4,41.9,12.47,1944
38362,1/29/1944,MTO,40.916667,14.4,41.07,12.67,1944
38363,1/29/1944,MTO,40.916667,14.4,41.07,12.67,1944
38364,1/29/1944,MTO,40.916667,14.4,41.72,12.63,1944
38369,1/29/1944,MTO,40.916667,14.4,39.27,16.25,1944
38916,1/30/1944,MTO,40.916667,14.4,41.7,13.62,1944
39296,1/31/1944,MTO,40.916667,14.4,42.0,13.0,1944
39297,1/31/1944,MTO,40.916667,14.4,39.27,16.25,1944
39298,1/31/1944,MTO,40.916667,14.4,42.58,11.92,1944
39552,2/1/1944,MTO,40.916667,14.4,42.25,12.68,1944
39565,2/2/1944,MTO,40.916667,14.4,42.3,12.3,1944
39577,2/2/1944,MTO,40.916667,14.4,41.82,12.92,1944
39580,2/2/1944,MTO,40.916667,14.4,41.93,13.1,1944
39842,2/3/1944,MTO,40.916667,14.4,41.57,12.83,1944
40166,2/4/1944,MTO,40.916667,14.4,42.32,12.07,1944
40387,2/5/1944,MTO,40.916667,14.4,39.27,16.25,1944
40388,2/5/1944,MTO,40.916667,14.4,42.32,12.07,1944
40399,2/5/1944,MTO,40.916667,14.4,41.68,12.78,1944
40600,2/5/1944,MTO,40.916667,14.4,41.9,12.47,1944
40601,2/5/1944,MTO,40.916667,14.4,41.68,12.7,1944
40602,2/5/1944,MTO,40.916667,14.4,41.52,13.77,1944
40942,2/6/1944,MTO,40.916667,14.4,41.72,12.63,1944
40948,2/6/1944,MTO,40.916667,14.4,41.57,12.83,1944
40963,2/6/1944,MTO,40.916667,14.4,41.07,12.67,1944
41253,2/7/1944,MTO,40.916667,14.4,41.52,13.77,1944
41254,2/7/1944,MTO,40.916667,14.4,42.05,12.6,1944
41262,2/7/1944,MTO,40.916667,14.4,41.45,13.67,1944
41263,2/7/1944,MTO,40.916667,14.4,42.48,11.25,1944
41264,2/7/1944,MTO,40.916667,14.4,38.07,13.35,1944
41509,2/8/1944,MTO,40.916667,14.4,41.45,13.67,1944
41521,2/8/1944,MTO,40.916667,14.4,41.45,13.67,1944
41877,2/9/1944,MTO,40.916667,14.4,41.48,13.82,1944
41879,2/9/1944,MTO,40.916667,14.4,41.72,12.63,1944
41883,2/9/1944,MTO,40.916667,14.4,39.27,16.25,1944
42157,2/10/1944,MTO,40.916667,14.4,41.48,13.08,1944
42161,2/10/1944,MTO,40.916667,14.4,39.27,16.25,1944
43006,2/12/1944,MTO,40.916667,14.4,39.27,16.25,1944
43007,2/12/1944,MTO,40.916667,14.4,41.68,12.7,1944
43098,2/13/1944,MTO,40.916667,14.4,41.45,12.63,1944
43310,2/13/1944,MTO,40.916667,14.4,42.05,12.6,1944
43686,2/14/1944,MTO,40.916667,14.4,41.63,13.37,1944
43853,2/15/1944,MTO,40.916667,14.4,41.0,12.0,1944
43854,2/15/1944,MTO,40.916667,14.4,41.9,12.47,1944
43877,2/15/1944,MTO,40.916667,14.4,41.9,12.47,1944
43878,2/15/1944,MTO,40.916667,14.4,41.9,12.47,1944
43879,2/15/1944,MTO,40.916667,14.4,41.68,12.78,1944
44436,2/16/1944,MTO,40.916667,14.4,41.45,12.63,1944
44453,2/16/1944,MTO,40.916667,14.4,41.9,12.47,1944
44454,2/16/1944,MTO,40.916667,14.4,41.0,12.0,1944
44466,2/16/1944,MTO,40.916667,14.4,41.45,12.63,1944
44728,2/17/1944,MTO,40.916667,14.4,41.87,12.48,1944
44729,2/17/1944,MTO,40.916667,14.4,41.48,13.82,1944
45062,2/19/1944,MTO,40.916667,14.4,41.72,12.63,1944
45348,2/20/1944,MTO,40.916667,14.4,41.87,12.48,1944
45350,2/20/1944,MTO,40.916667,14.4,41.9,12.47,1944
45600,9/3/1939,ETO,54.04916,-1.2533299999999998,53.563056,9.967222,1939
45601,9/4/1939,ETO,52.35694,-0.10777,53.5,8.05,1939
45602,9/4/1939,ETO,52.34277,0.77305,53.89504,9.104836,1939
45603,9/4/1939,ETO,53.8775,-0.43555,52.366667,9.716667,1939
45604,9/5/1939,ETO,54.04916,-1.2533299999999998,48.766667,9.15,1939
45605,9/7/1939,ETO,54.04916,-1.2533299999999998,53.5,8.05,1939
45606,9/8/1939,ETO,52.34277,0.77305,52.366667,9.716667,1939
45607,9/8/1939,ETO,54.04916,-1.2533299999999998,52.366667,9.716667,1939
45608,9/10/1939,ETO,54.04916,-1.2533299999999998,49.44,7.760278,1939
45609,9/24/1939,ETO,54.04916,-1.2533299999999998,53.05,8.9,1939
45610,9/25/1939,ETO,54.04916,-1.2533299999999998,53.05,8.9,1939
45611,9/27/1939,ETO,54.04916,-1.2533299999999998,53.05,8.9,1939
45612,9/28/1939,ETO,54.04916,-1.2533299999999998,53.05,8.9,1939
45613,9/29/1939,ETO,53.30777,-0.55111,54.2,7.883333,1939
45614,9/30/1939,ETO,54.04916,-1.2533299999999998,53.563056,9.967222,1939
45615,10/1/1939,ETO,54.13722,-1.4202700000000001,52.516667000000005,13.366667000000001,1939
45616,10/15/1939,ETO,54.13722,-1.4202700000000001,52.516667000000005,13.366667000000001,1939
45617,10/18/1939,ETO,54.04916,-1.2533299999999998,53.563056,9.967222,1939
45618,10/24/1939,ETO,54.13722,-1.4202700000000001,53.563056,9.967222,1939
45619,10/27/1939,ETO,54.13722,-1.4202700000000001,48.766667,9.15,1939
45620,11/10/1939,ETO,54.13722,-1.4202700000000001,49.44,7.760278,1939
45621,11/20/1939,ETO,54.13722,-1.4202700000000001,53.05,8.9,1939
45622,11/21/1939,ETO,54.04916,-1.2533299999999998,48.766667,9.15,1939
45623,11/24/1939,ETO,54.13722,-1.4202700000000001,53.89504,9.104836,1939
45624,11/27/1939,ETO,54.13722,-1.4202700000000001,53.88333299999999,8.7,1939
45625,12/3/1939,ETO,52.36166,0.48666000000000004,54.2,7.883333,1939
45626,12/6/1939,ETO,54.13722,-1.4202700000000001,53.563056,9.967222,1939
45627,12/12/1939,ETO,54.13722,-1.4202700000000001,54.9,8.333333,1939
45628,12/13/1939,ETO,54.13722,-1.4202700000000001,54.9,8.333333,1939
45629,12/14/1939,ETO,52.24194,0.37055,53.5,8.05,1939
45630,12/14/1939,ETO,54.13722,-1.4202700000000001,53.6,6.7,1939
45631,12/16/1939,ETO,54.13722,-1.4202700000000001,53.88333299999999,7.7,1939
45632,12/16/1939,ETO,54.13722,-1.4202700000000001,54.9,8.333333,1939
45633,12/16/1939,ETO,54.13722,-1.4202700000000001,53.716667,7.25,1939
45634,12/18/1939,ETO,52.34277,0.77305,53.5,8.05,1939
45635,12/18/1939,ETO,54.13722,-1.4202700000000001,53.716667,7.25,1939
45636,12/20/1939,ETO,52.35694,-0.10777,53.88333299999999,7.7,1939
45637,12/20/1939,ETO,54.13722,-1.4202700000000001,53.6,6.7,1939
45638,12/23/1939,ETO,54.13722,-1.4202700000000001,53.563056,9.967222,1939
45639,12/24/1939,ETO,52.34277,0.77305,53.88333299999999,7.7,1939
45640,12/31/1939,ETO,54.13722,-1.4202700000000001,53.6,6.7,1939
45674,6/11/1940,MTO,29.83333333,31.31666667,31.91,23.91,1940
45675,6/11/1940,MTO,29.83333333,31.31666667,31.91,23.91,1940
45676,6/11/1940,MTO,18.75,37.0,15.6,39.45,1940
45679,6/13/1940,MTO,-1.2833,36.8167,3.5269999999999997,39.056,1940
45680,6/14/1940,MTO,29.83333333,31.31666667,30.67,24.67,1940
45685,6/15/1940,MTO,12.7817,45.0267,9.5833,41.8667,1940
45990,6/16/1940,MTO,-1.2833,36.8167,4.883333299999999,38.0833333,1940
46137,2/21/1944,MTO,40.916667,14.4,41.9,12.47,1944
46142,2/21/1944,MTO,40.916667,14.4,41.57,12.83,1944
46350,7/19/1940,MTO,19.616667,37.216667,15.55,37.8833,1940
46357,7/20/1940,MTO,19.616667,37.216667,15.3333,38.9333,1940
46939,2/22/1944,MTO,40.916667,14.4,41.25,13.62,1944
47245,2/22/1944,MTO,40.916667,14.4,41.68,12.7,1944
47626,7/30/1940,EAST AFRICA,19.616667,37.216667,15.45,36.4,1940
47863,7/31/1940,EAST AFRICA,19.616667,37.216667,15.45,36.4,1940
47918,8/1/1940,MTO,19.616667,37.216667,15.1817,37.0747,1940
48170,8/2/1940,MTO,19.616667,37.216667,15.1817,37.0747,1940
48223,8/4/1940,MTO,19.616667,37.216667,15.6,39.45,1940
48596,8/6/1940,MTO,19.616667,37.216667,15.6,39.45,1940
48867,2/25/1944,MTO,40.916667,14.4,46.78,11.63,1944
48871,2/25/1944,MTO,40.916667,14.4,41.9,12.47,1944
48953,8/8/1940,MTO,12.7817,45.0267,9.0272,38.7369,1940
48982,8/9/1940,MTO,18.75,37.0,5.016,38.681999999999995,1940
48983,8/9/1940,MTO,19.616667,37.216667,15.6,39.45,1940
49693,2/27/1944,MTO,40.916667,14.4,41.47,12.9,1944
49715,2/27/1944,MTO,40.916667,14.4,41.55,13.53,1944
49887,9/25/1944,PTO,-6.244444,155.38388899999998,-6.6666666,155.3,1944
49888,9/25/1944,PTO,-6.244444,155.38388899999998,-6.2,155.25,1944
49891,9/25/1944,PTO,-6.244444,155.38388899999998,-6.6666666,155.3,1944
49892,9/25/1944,PTO,-6.244444,155.38388899999998,-6.2,155.25,1944
50041,2/28/1944,MTO,40.916667,14.4,42.02,12.52,1944
50062,2/28/1944,MTO,40.916667,14.4,41.55,13.53,1944
50063,2/28/1944,MTO,40.916667,14.4,41.47,12.9,1944
50131,8/15/1940,MTO,19.616667,37.216667,15.6,39.45,1940
50171,8/17/1940,EAST AFRICA,18.75,37.0,15.45,36.4,1940
50455,2/29/1944,MTO,40.916667,14.4,41.57,12.83,1944
50696,9/26/1944,PTO,-6.244444,155.38388899999998,-5.516666667000001,154.7666667,1944
50708,9/26/1944,PTO,-6.244444,155.38388899999998,-5.516666667000001,154.7666667,1944
50939,8/19/1940,MTO,-1.2833,36.8167,4.88333,38.0833,1940
50947,8/20/1940,MTO,18.75,36.8167,9.5833,41.8667,1940
50948,8/21/1940,EAST AFRICA,-1.2833,36.8167,2.0411,45.3426,1940
51223,3/2/1944,MTO,40.916667,14.4,41.57,12.83,1944
51237,3/2/1944,MTO,40.916667,14.4,41.47,12.9,1944
52210,9/27/1944,PTO,-6.244444,155.38388899999998,-5.516666667000001,154.7666667,1944
52499,3/4/1944,MTO,40.916667,14.4,41.27,13.25,1944
53064,9/28/1944,PTO,-6.244444,155.38388899999998,-6.6666666,155.3,1944
53074,9/28/1944,PTO,-6.244444,155.38388899999998,-6.683333332999999,155.4833333,1944
53075,9/28/1944,PTO,-6.244444,155.38388899999998,-6.716666667,155.5333333,1944
53076,9/28/1944,PTO,-6.244444,155.38388899999998,-6.583333333,155.25,1944
53530,3/6/1944,MTO,40.916667,14.4,41.9,12.47,1944
53655,9/3/1940,EAST AFRICA,18.75,37.0,15.45,36.4,1940
53903,9/3/1940,MTO,-1.2833,36.8167,4.883333299999999,38.0833333,1940
53904,9/4/1940,EAST AFRICA,-1.2833,36.8167,3.066667,43.649802,1940
53905,9/4/1940,EAST AFRICA,18.75,36.8167,15.45,36.4,1940
53975,9/5/1940,MTO,12.7817,45.0267,13.0167,42.7333,1940
54083,3/7/1944,MTO,40.916667,14.4,42.05,12.6,1944
54092,3/7/1944,MTO,40.916667,14.4,41.47,12.9,1944
54225,9/29/1944,PTO,-15.25,166.833333,-4.966666667,152.0166667,1944
54369,9/9/1940,MTO,-1.2833,36.8167,7.2,38.6,1940
54716,9/9/1940,MTO,19.616667,37.216667,15.6,39.45,1940
54717,9/9/1940,MTO,18.75,36.8167,15.3333,38.9333,1940
54800,3/8/1944,MTO,40.916667,14.4,42.35,11.62,1944
55217,3/9/1944,MTO,40.916667,14.4,42.27,12.18,1944
55226,3/9/1944,MTO,40.916667,14.4,42.05,12.6,1944
55508,9/15/1940,MTO,12.7817,45.0267,13.0167,42.7333,1940
55572,9/18/1940,MTO,-1.2833,36.8167,4.883333299999999,38.0833333,1940
55573,9/18/1940,EAST AFRICA,18.75,37.0,15.45,36.4,1940
55997,3/10/1944,MTO,40.916667,14.4,41.83,12.87,1944
56006,3/10/1944,MTO,40.916667,14.4,42.2,12.72,1944
56013,3/10/1944,MTO,40.916667,14.4,42.1,11.78,1944
56386,3/11/1944,MTO,40.916667,14.4,41.97,12.8,1944
56406,3/11/1944,MTO,40.916667,14.4,41.83,12.87,1944
56628,9/23/1940,MTO,15.58,32.52,14.9936,39.0433,1940
57193,3/13/1944,MTO,40.916667,14.4,44.02,10.62,1944
57229,3/13/1944,MTO,40.916667,14.4,42.52,12.28,1944
57628,3/14/1944,MTO,40.916667,14.4,41.9,12.47,1944
58005,3/15/1944,MTO,40.916667,14.4,41.48,13.82,1944
58006,3/15/1944,MTO,40.916667,14.4,41.48,13.82,1944
58007,3/15/1944,MTO,40.916667,14.4,41.48,13.82,1944
59383,4/2/1945,PTO,-6.244444,155.38388899999998,-6.7,155.81666669999998,1945
59494,3/17/1944,MTO,40.916667,14.4,42.5,12.52,1944
59511,3/17/1944,MTO,40.916667,14.4,42.5,12.52,1944
59906,3/18/1944,PTO,-6.244444,155.38388899999998,-6.65,156.43333330000002,1944
59919,3/18/1944,MTO,40.916667,14.4,42.27,12.4,1944
60903,10/19/1940,MTO,12.7817,45.0267,9.5833,41.8667,1940
61100,3/19/1944,MTO,40.916667,14.4,44.02,10.62,1944
61101,3/19/1944,MTO,40.916667,14.4,41.9,12.47,1944
61310,10/21/1940,MTO,19.616667,37.216667,15.7,39.6,1940
61443,4/4/1945,PTO,-6.244444,155.38388899999998,-6.7,155.81666669999998,1945
61456,4/4/1945,PTO,-6.244444,155.38388899999998,-5.1,154.5166667,1945
61863,3/20/1944,MTO,40.916667,14.4,41.63,13.37,1944
63494,4/5/1945,PTO,-6.244444,155.38388899999998,-6.7,155.81666669999998,1945
63963,11/2/1940,MTO,35.8575,14.4775,40.84,14.28,1940
64031,11/6/1940,EAST AFRICA,15.58,32.52,12.9667,36.2,1940
64426,11/7/1940,MTO,-1.2833,36.8167,5.632999999999999,37.417,1940
64712,11/8/1940,MTO,35.8575,14.4775,32.67,13.16,1940
65104,11/10/1940,MTO,35.8575,14.4775,40.84,14.28,1940
65242,4/6/1945,PTO,-6.244444,155.38388899999998,-6.7,155.81666669999998,1945
65420,3/27/1944,MTO,40.916667,14.4,45.87,11.5,1944
65550,4/6/1945,PTO,-6.244444,155.38388899999998,-5.1,154.5166667,1945
65743,3/27/1944,PTO,-6.216667,155.066667,-4.183333333,152.1166667,1944
65921,11/14/1940,MTO,35.8575,14.4775,40.47,17.23,1940
66182,3/28/1944,MTO,40.916667,14.4,42.35,11.62,1944
66624,3/29/1944,MTO,40.916667,14.4,42.72,12.12,1944
66682,11/16/1940,MTO,-1.2833,36.8167,2.8094,40.9358,1940
66938,3/29/1944,PTO,-15.25,166.833333,-4.333333333,152.33333330000002,1944
66947,3/29/1944,MTO,40.916667,14.4,38.02,14.35,1944
66950,3/29/1944,MTO,40.916667,14.4,42.1,11.78,1944
66960,3/29/1944,PTO,-6.216667,155.066667,-4.333333333,152.33333330000002,1944
67369,3/30/1944,MTO,40.916667,14.4,42.27,12.4,1944
67378,3/30/1944,PTO,-15.25,166.833333,-4.333333333,152.33333330000002,1944
67384,3/30/1944,PTO,-6.216667,155.066667,-4.333333333,152.33333330000002,1944
67756,11/23/1940,MTO,35.8575,14.4775,40.47,17.23,1940
68237,4/1/1944,MTO,40.916667,14.4,42.63,12.3,1944
68246,4/1/1944,PTO,-15.25,166.833333,-4.183333333,152.1166667,1944
68304,4/2/1944,MTO,40.916667,14.4,42.2,12.72,1944
68322,4/2/1944,MTO,40.916667,14.4,42.52,12.28,1944
68703,4/3/1944,MTO,40.916667,14.4,42.5,12.52,1944
68723,4/3/1944,MTO,40.916667,14.4,42.52,12.28,1944
